,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1010,1,0,0,0,3,1,0,0,2,0,0,0,0,0,0,1,3,50.15,1058,0
3641,0,0,0,0,49,1,0,0,0,0,2,2,2,2,2,1,0,74.45,3206,0
931,1,0,0,0,33,1,0,1,0,2,0,2,0,0,2,0,0,80.6,2299,0
6352,1,0,1,0,42,1,2,1,2,0,2,0,0,2,0,1,2,94.4,3430,0
691,1,0,1,1,31,1,2,0,2,2,0,2,0,2,1,1,0,75.25,1979,0
533,1,1,1,1,68,1,2,1,0,0,2,2,2,2,1,1,1,107.15,5702,0
6451,1,1,1,1,66,1,2,1,2,2,2,2,2,2,1,1,2,116.25,5943,0
2227,1,0,1,1,58,1,0,2,1,1,1,1,1,1,1,1,2,19.55,208,0
652,1,0,1,1,35,1,0,2,1,1,1,1,1,1,2,0,3,20.1,5235,0
33,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,1610,0
4118,0,0,0,0,40,1,0,1,0,2,0,0,0,0,0,0,1,74.8,2569,0
44,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,6503,0
6767,1,0,1,0,57,1,0,0,2,0,0,2,0,0,0,0,2,55.7,2756,0
5100,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,75.3,5769,1
964,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7,3822,1
5589,0,0,0,0,46,1,0,0,0,0,2,2,0,0,2,0,1,54.35,2112,1
2415,0,1,1,1,40,1,2,1,0,0,0,0,2,2,0,1,1,94.55,3144,1
6202,1,0,1,1,21,1,2,0,2,2,0,2,2,0,1,0,3,77.5,1096,1
2263,0,0,0,0,6,1,0,1,2,2,2,2,0,2,0,1,0,98.15,4685,1
5202,1,0,1,1,59,1,2,1,2,2,0,2,2,2,2,1,3,111.1,5239,0
4450,1,0,0,0,15,1,2,0,0,2,0,2,0,0,0,1,1,58.6,6416,1
5247,0,0,0,0,27,1,2,1,0,0,0,0,2,2,0,1,3,94.55,2369,1
6306,1,0,0,0,71,1,2,1,2,2,2,2,2,2,1,1,0,116.3,6140,0
5244,0,0,0,0,45,1,2,1,0,0,2,0,0,2,0,1,1,89.3,3585,0
2316,1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,20.7,5663,0
2617,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6,1486,1
26,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4019,1
3605,1,0,0,0,34,1,0,0,0,2,0,0,0,0,0,1,2,49.8,1243,0
63,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,6459,0
1044,0,0,0,0,8,1,0,0,2,0,0,2,0,0,1,0,0,54.25,3793,0
3660,1,0,0,0,7,0,1,0,0,0,2,2,0,0,1,1,1,35.5,2135,0
5360,1,0,1,1,5,1,2,1,2,0,2,0,0,0,0,1,2,84.5,3857,1
2656,0,0,0,0,39,1,0,0,0,0,0,2,0,2,1,0,2,59.3,1840,0
1454,1,0,1,1,29,1,0,2,1,1,1,1,1,1,0,1,3,20.65,5231,0
227,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,4560,1
6984,1,0,0,1,31,0,1,0,0,0,0,0,0,0,0,0,1,25.0,5957,0
3080,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,24.3,3257,0
3317,1,0,1,0,63,1,0,0,2,2,0,2,2,0,1,0,1,70.8,3774,0
5035,1,0,0,0,20,1,0,1,0,0,0,0,2,0,0,0,2,78.8,1117,0
3184,0,0,1,0,71,1,2,0,0,2,2,2,2,2,2,1,1,83.3,4836,0
2833,0,0,0,0,66,1,0,0,2,2,2,0,0,0,2,1,0,61.15,3435,0
3539,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,3,45.15,3721,1
969,0,0,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,96.0,1255,1
4603,1,0,1,0,3,0,1,0,2,0,0,2,0,0,0,0,3,35.1,20,0
5751,0,0,0,0,47,1,0,2,1,1,1,1,1,1,2,0,1,20.25,63,0
2662,1,0,0,0,2,0,1,0,0,0,2,0,2,2,0,1,2,49.25,6323,1
4094,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.0,5713,0
6034,0,0,0,0,7,1,0,2,1,1,1,1,1,1,1,0,3,20.25,526,0
3813,1,0,1,1,69,1,2,1,0,2,2,0,2,2,2,1,2,105.0,5660,0
2387,1,0,0,0,5,1,2,1,0,2,2,0,2,2,0,0,2,105.3,4570,0
4224,0,0,1,0,71,1,0,2,1,1,1,1,1,1,2,0,3,19.6,767,0
6375,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,1,74.3,5717,1
3567,0,0,1,1,14,1,0,1,0,2,0,2,0,2,0,1,1,89.65,380,1
4148,0,0,0,0,29,1,0,2,1,1,1,1,1,1,0,0,1,19.35,4922,0
2646,1,0,0,0,56,1,0,0,0,2,2,2,2,2,2,1,1,81.8,3861,0
6626,1,1,1,0,6,1,0,1,0,0,2,0,2,2,0,1,2,95.75,4731,1
252,1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,3414,1
5435,0,0,1,1,46,1,0,1,0,0,2,2,0,2,1,0,0,90.95,3613,0
4554,1,0,0,0,20,1,0,1,2,2,2,2,2,2,0,1,0,108.2,1836,0
3975,0,1,0,0,20,1,2,1,0,0,0,0,0,2,0,1,1,85.8,1233,1
4847,0,1,0,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.25,2458,1
5719,0,0,1,1,24,1,0,2,1,1,1,1,1,1,2,1,3,19.7,4186,0
2818,1,0,1,1,29,1,0,1,2,0,0,0,2,2,0,0,1,94.65,2293,1
1702,0,0,1,0,21,1,2,1,2,0,2,0,2,2,0,1,0,104.4,1831,1
4428,1,0,1,1,19,1,2,1,0,0,2,2,2,2,0,0,2,103.3,1642,1
4808,0,0,0,0,54,1,0,0,2,0,2,2,2,2,2,0,2,80.6,3656,0
3790,1,0,0,0,2,1,0,2,1,1,1,1,1,1,1,0,1,19.3,2426,1
5722,0,1,1,0,27,1,2,1,2,0,0,2,2,2,0,1,0,104.3,2473,1
4041,1,0,0,0,46,0,1,0,2,0,2,2,2,2,2,1,0,60.75,2496,0
2094,0,0,0,0,18,1,0,2,1,1,1,1,1,1,0,0,3,19.65,3349,0
2843,0,0,1,1,52,1,0,2,1,1,1,1,1,1,2,0,3,19.85,139,0
641,0,0,1,1,43,1,0,0,0,0,0,0,2,0,0,0,2,56.15,2146,1
6140,0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,3,19.95,4780,0
3882,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,44.8,1284,0
4405,1,0,1,1,6,1,0,1,0,2,0,0,0,2,0,1,1,83.55,4037,1
297,1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.8,2977,0
303,0,0,1,1,68,0,1,0,0,2,2,2,2,2,2,0,1,60.3,3498,0
2406,0,0,0,0,5,1,0,1,0,2,0,0,2,2,0,1,2,96.25,4310,1
5816,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,44.6,405,0
3154,0,1,0,0,4,1,0,1,0,2,0,0,0,0,0,0,2,72.75,2754,0
1839,0,0,0,0,4,1,2,2,1,1,1,1,1,1,2,1,1,25.3,301,0
4384,0,0,1,0,2,1,0,1,0,2,2,0,0,0,0,0,0,79.7,1125,1
4306,1,0,1,1,40,1,2,1,2,2,0,2,2,2,0,1,1,110.1,3792,0
655,1,0,0,0,10,1,0,1,0,0,0,2,2,2,0,1,1,95.1,6252,0
4139,1,1,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.5,1715,0
4686,0,1,0,0,72,1,2,1,2,2,2,2,0,2,2,1,0,107.4,5889,0
4775,0,0,1,0,24,1,0,1,0,2,2,0,2,2,0,1,1,99.3,2079,1
240,0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,5128,0
783,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,52.2,4355,1
1354,0,0,0,0,18,1,2,1,0,0,0,2,2,0,0,1,2,88.35,1111,1
1018,1,0,0,0,4,0,1,0,0,0,0,2,0,2,0,1,2,40.05,1086,0
4912,1,1,0,0,36,1,2,1,2,0,0,0,2,0,0,1,2,90.85,2770,1
977,0,0,0,0,11,1,2,1,0,0,0,0,0,0,0,0,2,75.25,6291,0
809,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,5447,1
6755,1,0,0,0,42,1,2,1,0,0,2,0,0,0,0,0,2,79.9,2878,0
5036,0,1,1,0,16,1,2,1,0,0,0,0,0,2,0,1,1,85.35,677,1
257,1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,4775,0
893,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,24.6,2041,1
5936,0,0,1,1,38,1,0,2,1,1,1,1,1,1,2,1,3,19.95,5808,0
4366,1,1,1,1,24,1,2,1,2,0,0,0,0,0,0,1,2,79.85,1423,0
3589,1,0,1,1,31,1,2,0,0,0,0,0,0,2,0,0,0,59.7,1379,0
5162,1,0,0,1,8,1,0,2,1,1,1,1,1,1,0,0,0,19.45,1043,0
5229,0,1,1,0,43,1,2,1,0,0,2,2,2,2,1,1,2,107.55,3860,1
5167,0,0,1,0,57,1,0,0,2,2,0,2,2,0,2,1,1,70.35,3518,0
3288,0,0,1,1,13,1,0,2,1,1,1,1,1,1,2,0,3,20.85,2362,0
6698,1,0,0,0,40,1,0,1,0,2,0,2,0,2,1,1,1,89.6,3023,0
2132,1,0,1,1,23,1,0,2,1,1,1,1,1,1,1,0,3,19.65,3704,0
6243,0,0,1,1,72,1,2,0,2,2,2,0,2,2,2,1,1,83.6,4883,0
5520,0,0,0,0,55,1,2,1,2,0,2,0,0,0,1,1,1,84.25,3897,0
1357,1,0,1,0,48,1,2,1,2,2,2,0,2,2,0,1,0,111.45,4445,0
1561,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.95,5725,1
6054,0,0,1,1,36,1,2,1,0,2,2,0,2,0,0,1,0,97.35,2991,1
2251,1,0,0,0,11,1,0,0,0,0,2,0,2,2,0,1,2,69.35,5586,0
5474,0,0,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,84.6,6175,0
2471,0,0,1,0,53,1,2,1,0,2,0,0,2,2,0,1,1,98.4,4327,1
3133,1,0,1,0,70,0,1,0,0,2,2,2,0,2,1,1,0,51.05,3141,0
2024,1,0,0,0,12,1,0,1,0,0,2,0,2,2,1,0,2,95.7,344,0
4687,1,0,1,0,22,1,0,1,0,0,2,0,2,2,0,1,1,94.7,1517,1
2986,0,0,1,1,55,1,0,1,0,0,0,0,0,0,2,1,1,69.05,3288,0
2042,0,1,0,0,28,1,2,0,0,2,2,2,0,0,0,0,0,64.45,1438,0
4905,0,0,1,1,58,1,0,2,1,1,1,1,1,1,2,1,3,19.85,297,0
2876,1,0,0,0,19,1,0,2,1,1,1,1,1,1,1,1,1,19.7,3302,0
2669,0,0,0,0,19,1,2,1,2,2,0,0,0,2,0,1,2,95.15,1322,1
4756,1,0,0,0,31,1,0,0,2,2,2,2,2,0,0,1,0,72.45,1770,0
5728,0,0,0,0,13,1,2,1,0,2,2,2,0,0,0,0,2,89.4,259,1
4098,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.2,1610,1
7018,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.65,5514,1
3806,0,1,0,0,18,1,0,1,0,2,0,0,0,0,0,1,2,73.55,651,0
6842,1,0,0,0,13,1,0,2,1,1,1,1,1,1,1,1,3,19.95,2225,0
3475,0,0,1,1,2,1,0,2,1,1,1,1,1,1,1,0,3,20.3,2699,0
1092,1,0,1,0,70,1,0,0,2,2,2,2,0,0,2,0,1,64.95,3850,0
5867,1,1,1,0,44,1,0,2,1,1,1,1,1,1,2,1,1,19.35,6197,0
124,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,5043,0
4152,1,0,1,0,65,1,2,0,2,0,2,2,0,2,2,0,0,76.15,4179,0
6882,0,1,0,0,71,1,2,1,2,2,0,2,2,0,1,1,1,99.65,5617,0
4489,0,0,1,1,64,1,2,0,0,2,0,0,0,0,1,1,0,53.85,2941,0
2922,0,0,1,0,28,1,0,1,2,0,0,0,2,2,0,1,3,92.35,2252,1
2516,0,1,0,0,16,1,2,1,0,0,0,0,2,2,0,1,2,96.4,1033,1
6038,0,0,1,1,70,1,2,1,2,2,2,2,2,2,2,1,0,114.2,5882,1
1553,0,0,1,1,39,1,0,1,0,0,2,2,0,0,0,1,0,81.5,2703,0
3482,1,0,0,0,19,1,0,0,0,0,0,0,0,0,0,1,0,45.0,6256,0
2886,0,0,0,0,60,1,0,1,2,0,2,2,2,2,0,1,0,104.95,5059,0
598,1,0,1,0,51,1,2,1,0,2,0,0,0,2,1,1,1,90.35,3916,0
75,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,5009,0
1339,1,0,1,0,66,1,2,1,0,2,2,0,2,2,0,1,1,105.0,5596,1
1416,0,0,1,1,58,0,1,0,0,0,2,2,2,2,2,1,1,55.5,2749,0
4772,0,0,1,1,69,1,0,0,0,2,2,2,0,0,1,0,0,59.1,3527,0
1649,0,0,0,0,27,1,0,0,0,2,0,2,0,0,0,1,3,56.15,807,0
5652,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,2,48.6,4052,0
3206,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.0,173,0
4024,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,25.05,1470,0
2829,1,1,0,0,8,1,0,1,0,0,0,0,0,0,0,1,2,69.7,4638,1
149,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,141,0
3001,1,0,0,0,9,1,0,2,1,1,1,1,1,1,0,0,3,20.4,1362,0
1557,1,0,0,0,12,1,2,0,2,2,0,2,0,0,0,1,2,67.25,6147,0
3931,0,0,1,0,25,1,0,0,2,2,0,2,0,2,0,1,3,71.05,1391,0
453,0,0,1,1,28,1,0,1,0,0,0,0,0,2,0,1,2,81.05,1859,1
4427,0,0,0,0,49,1,0,1,0,0,2,2,2,2,2,0,1,100.65,4168,0
1832,1,1,1,0,57,0,1,0,0,0,0,0,2,2,0,1,2,44.85,2230,1
3250,1,0,1,0,11,1,0,2,1,1,1,1,1,1,1,1,3,20.55,1399,0
5663,0,0,1,1,37,1,2,1,0,0,0,0,2,2,0,1,2,95.25,2879,0
808,1,0,1,0,40,1,2,1,0,2,0,0,2,2,0,1,2,101.3,3505,1
2002,1,0,0,0,54,0,1,0,2,0,0,2,2,0,2,0,1,45.2,2114,0
3353,1,0,1,0,12,1,0,1,0,2,0,0,0,2,0,1,1,85.05,6529,0
3824,1,0,0,0,4,1,0,0,0,0,0,0,0,2,0,1,3,55.3,2018,0
1671,1,0,1,1,66,1,0,1,2,2,2,0,2,2,1,1,0,103.15,5535,0
1119,1,0,1,1,70,0,1,0,2,0,2,2,2,2,2,0,0,59.5,3538,0
4353,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,2,74.9,5724,1
810,1,0,0,0,58,1,2,1,0,2,2,0,2,2,1,1,0,103.25,4925,1
1129,1,1,0,0,47,1,2,1,0,0,0,0,2,0,0,1,1,86.05,3306,0
834,0,1,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,78.85,2524,1
6124,0,0,1,1,57,1,0,0,2,0,2,2,0,0,1,1,3,59.3,2850,0
5413,0,0,0,0,15,1,0,1,0,0,2,0,2,2,0,1,1,94.0,917,0
6732,0,0,0,0,24,1,2,1,0,0,0,2,0,2,0,1,2,89.55,1893,0
1971,0,0,0,0,20,1,0,2,1,1,1,1,1,1,1,1,1,19.35,3684,0
1235,1,1,1,0,61,1,2,1,0,2,2,2,2,0,1,1,3,98.3,4957,0
1225,0,0,1,0,16,0,1,0,0,0,0,2,2,2,0,1,2,49.95,6061,1
4051,0,0,1,0,72,1,2,1,0,2,0,0,2,2,2,1,1,97.7,5419,0
2344,0,1,0,0,14,0,1,0,2,0,2,2,0,0,2,0,3,39.7,5463,0
6227,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,46.05,6019,1
4352,1,0,1,1,64,1,2,1,2,2,2,0,0,0,0,1,2,91.8,4884,0
2273,1,0,1,0,30,1,0,2,1,1,1,1,1,1,1,0,1,19.8,4753,0
1729,1,0,1,0,64,1,2,1,2,2,2,0,0,0,1,0,0,89.45,4700,0
6785,1,0,0,0,61,1,2,1,2,0,2,2,2,2,2,1,1,111.6,5424,1
2181,0,0,1,1,50,1,2,0,0,2,2,2,2,2,1,1,1,84.15,3560,0
1027,0,0,0,0,47,1,2,1,2,0,2,0,2,0,1,0,1,94.9,3917,0
3082,1,0,0,0,51,1,2,0,2,0,0,2,0,0,1,0,1,59.9,2643,0
5205,0,0,0,0,37,1,2,1,2,2,2,0,0,0,0,0,0,91.2,2935,0
349,0,1,1,0,64,1,0,1,2,2,2,0,0,2,1,0,0,97.0,5175,0
452,1,0,1,0,60,0,1,0,0,2,2,2,2,2,0,1,0,60.2,3105,0
662,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.05,1607,0
172,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,339,0
1405,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,2,76.0,5820,1
5857,0,0,1,1,17,1,2,1,0,0,2,0,2,0,0,0,2,88.25,851,1
4250,1,0,0,0,63,1,2,1,2,2,2,2,2,0,1,0,1,104.5,5262,0
4550,0,0,1,1,72,1,2,2,1,1,1,1,1,1,2,1,0,26.25,1593,0
422,1,0,0,1,29,1,2,1,0,2,2,2,0,2,1,0,1,100.55,2446,0
3017,0,0,1,1,18,1,0,0,2,2,0,2,0,0,1,1,3,61.5,170,0
3326,1,1,0,0,38,1,0,0,0,2,2,2,2,0,1,1,1,70.15,2144,1
881,1,1,0,0,26,1,0,2,1,1,1,1,1,1,1,0,1,19.3,4271,0
3450,1,1,1,0,70,1,2,1,0,2,2,0,2,2,1,1,2,104.8,5673,0
1253,0,0,0,0,7,1,0,1,0,0,0,0,0,2,0,1,2,79.3,4382,1
6268,0,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,0,20.85,3828,0
6210,0,0,0,1,25,1,0,0,0,2,0,2,0,0,1,1,1,54.75,486,0
2225,1,0,0,0,33,0,1,0,0,2,0,0,2,0,1,1,2,39.1,566,0
4121,1,1,1,0,27,1,2,1,0,2,2,0,0,2,0,1,2,95.55,2169,1
6563,1,0,1,1,15,1,2,1,0,0,0,0,0,0,0,1,0,74.9,204,1
1905,0,0,0,0,41,1,2,2,1,1,1,1,1,1,1,1,3,24.85,6471,0
102,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3122,0
3014,1,1,1,0,44,1,2,1,0,0,2,0,2,0,0,1,2,89.2,3456,0
4301,1,0,1,1,66,1,0,2,1,1,1,1,1,1,2,1,3,19.75,626,0
6678,1,0,0,1,19,1,0,2,1,1,1,1,1,1,2,0,1,20.85,3950,0
4269,1,0,1,0,17,1,2,1,2,2,2,0,0,0,0,0,1,90.2,840,1
2447,1,0,0,0,7,1,0,1,0,0,2,0,0,0,0,1,2,74.9,4149,0
1580,0,1,1,0,21,1,2,0,0,2,2,0,0,2,1,0,0,71.7,895,0
3803,1,0,1,0,61,1,2,1,0,2,0,2,2,0,2,1,2,94.1,4667,1
3481,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,2,50.7,1760,0
4871,1,0,1,1,58,1,0,0,0,2,0,2,2,2,1,1,1,75.2,3663,0
3877,0,0,1,1,21,0,1,0,2,0,2,0,2,2,1,1,2,55.95,296,1
5192,1,0,0,1,60,1,0,2,1,1,1,1,1,1,2,0,3,19.95,351,0
135,0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,348,0
2521,1,1,1,0,36,1,2,1,0,0,0,0,0,2,0,1,1,85.25,2725,1
4151,0,1,0,0,57,0,1,0,0,2,2,0,2,2,0,1,2,55.0,2691,0
1918,1,0,0,0,24,1,0,0,2,0,0,2,0,0,0,0,2,54.95,635,0
6332,1,0,1,1,68,1,0,1,2,2,2,0,2,2,2,1,0,105.25,5613,0
4697,1,0,1,0,72,1,0,1,0,0,2,0,2,2,0,1,2,94.65,5346,0
4750,1,0,0,0,9,0,1,0,2,2,2,0,0,0,1,0,3,39.55,3212,0
2666,1,0,0,1,66,1,0,0,0,2,2,2,2,2,2,1,1,79.5,4351,0
5110,0,0,0,0,8,1,2,1,0,0,0,0,0,0,0,1,2,73.5,5108,0
2925,0,0,1,1,50,1,0,1,0,0,2,2,2,2,1,0,3,103.05,4331,0
3066,0,0,0,0,10,1,2,1,0,0,0,0,0,0,0,1,3,75.75,5898,0
1789,1,0,1,0,54,0,1,0,0,2,0,0,0,0,0,0,2,30.4,1092,0
5288,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.65,5971,1
807,1,0,1,0,71,1,2,1,2,0,2,2,2,2,2,1,1,108.55,5834,0
462,1,0,1,1,4,1,2,1,0,0,2,0,2,2,0,0,2,101.15,3297,1
879,1,0,0,0,33,1,2,0,0,2,0,0,0,0,0,1,0,54.65,1150,0
3248,1,1,1,0,10,1,2,1,0,0,0,0,0,2,0,1,2,86.65,6231,1
4726,0,0,1,0,72,0,1,0,2,2,2,0,0,2,2,1,2,49.2,3102,0
5680,0,1,1,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.85,1623,1
6790,0,0,0,0,67,1,2,2,1,1,1,1,1,1,2,1,0,25.6,1329,0
4377,0,0,1,0,22,1,0,1,0,0,0,0,2,0,0,1,1,80.0,1204,0
799,1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,96.75,4997,1
354,0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,6180,1
3964,0,0,1,1,68,1,2,1,2,0,2,2,2,2,2,0,1,111.75,5782,0
1073,1,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,0,98.05,5590,1
3101,0,0,0,0,58,1,2,1,2,0,0,0,0,0,0,1,0,79.8,3853,0
5594,0,0,1,1,23,1,2,1,0,0,0,0,2,0,0,1,2,83.75,1411,0
144,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1278,0
380,0,0,1,0,41,1,0,1,0,2,2,2,0,0,1,1,0,86.2,2895,0
1340,0,0,1,1,0,0,1,0,2,2,2,2,2,0,2,0,1,56.05,0,0
4168,1,0,1,0,61,0,1,0,2,0,2,2,2,2,2,1,3,62.15,3245,0
6510,0,0,1,1,46,1,2,1,2,0,2,2,0,2,2,0,3,99.65,3929,0
121,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,230,0
3745,1,0,0,0,7,1,0,1,0,2,0,0,2,2,0,1,2,94.25,5309,1
3612,1,0,0,0,21,1,2,1,0,0,0,0,0,0,0,1,2,73.7,999,0
1360,0,1,0,0,13,1,2,1,0,0,0,0,2,2,0,1,2,95.05,530,1
418,0,0,1,1,22,1,0,1,0,2,0,0,0,2,0,0,2,83.3,1406,1
6348,0,0,0,0,26,1,0,1,0,0,0,0,0,0,0,1,1,69.05,1369,0
5546,1,0,0,0,4,0,1,0,2,2,0,2,0,0,0,0,3,42.4,847,0
1514,0,0,0,1,63,1,0,2,1,1,1,1,1,1,2,0,1,19.5,391,0
4184,1,1,1,0,5,1,2,1,0,0,2,0,0,0,0,1,0,79.9,2971,1
5455,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,1,19.7,528,0
3100,0,0,1,0,55,1,2,1,0,2,2,0,2,0,0,1,1,94.45,4293,0
2063,1,0,1,1,51,1,0,0,2,0,0,2,2,2,1,1,0,76.4,3390,0
555,0,0,1,1,56,1,2,0,2,0,2,0,0,2,1,1,0,68.75,3264,0
2312,1,0,0,0,18,1,0,2,1,1,1,1,1,1,1,0,3,20.1,3425,0
3543,1,0,1,0,72,1,2,1,2,2,2,2,0,2,2,0,0,105.6,5816,0
